gia ton kivo 
	akmi		emvadon		xwritikotita		xwritikotita/kostos 
1.261012		9.540911		2.005201		9540.911133		0.000210 
1.262012		9.556049		2.009975		9556.049805		0.000210 
1.263012		9.571200		2.014757		9571.200195		0.000211 
1.264012		9.586363		2.019547		9586.363281		0.000211 
1.265012		9.601538		2.024344		9601.538086		0.000211 
1.266012		9.616725		2.029149		9616.724609		0.000211 
1.267012		9.631924		2.033961		9631.923828		0.000211 
1.268013		9.647135		2.038781		9647.134766		0.000211 
1.269013		9.662357		2.043609		9662.357422		0.000212 
1.270013		9.677592		2.048444		9677.591797		0.000212 
1.271013		9.692840		2.053287		9692.839844		0.000212 
1.272013		9.708098		2.058137		9708.098633		0.000212 
1.273013		9.723369		2.062995		9723.368164		0.000212 
1.274013		9.738651		2.067861		9738.651367		0.000212 
1.275013		9.753946		2.072735		9753.946289		0.000213 
1.276013		9.769254		2.077615		9769.253906		0.000213 
1.277013		9.784573		2.082504		9784.572266		0.000213 
1.278013		9.799903		2.087401		9799.903320		0.000213 
1.279013		9.815246		2.092305		9815.246094		0.000213 
1.280013		9.830601		2.097216		9830.600586		0.000213 
1.281013		9.845968		2.102136		9845.967773		0.000214 
1.282013		9.861347		2.107063		9861.347656		0.000214 
1.283013		9.876738		2.111998		9876.737305		0.000214 
1.284013		9.892140		2.116940		9892.140625		0.000214 
1.285013		9.907556		2.121890		9907.555664		0.000214 
1.286013		9.922982		2.126848		9922.982422		0.000214 
1.287013		9.938421		2.131814		9938.420898		0.000215 
1.288013		9.953872		2.136787		9953.872070		0.000215 
1.289014		9.969335		2.141768		9969.334961		0.000215 
1.290014		9.984810		2.146757		9984.809570		0.000215 
1.291014		10.000297		2.151753		10000.296875		0.000215 
1.292014		10.015796		2.156757		10015.795898		0.000215 
1.293014		10.031306		2.161769		10031.306641		0.000216 
1.294014		10.046829		2.166789		10046.829102		0.000216 
1.295014		10.062365		2.171817		10062.364258		0.000216 
1.296014		10.077911		2.176852		10077.911133		0.000216 
1.297014		10.093470		2.181895		10093.469727		0.000216 
1.298014		10.109041		2.186946		10109.041016		0.000216 
1.299014		10.124624		2.192005		10124.624023		0.000217 
1.300014		10.140219		2.197071		10140.218750		0.000217 
1.301014		10.155826		2.202145		10155.825195		0.000217 
1.302014		10.171445		2.207227		10171.445312		0.000217 
1.303014		10.187076		2.212317		10187.075195		0.000217 
1.304014		10.202719		2.217415		10202.718750		0.000217 
1.305014		10.218373		2.222520		10218.373047		0.000218 
1.306014		10.234040		2.227634		10234.040039		0.000218 
1.307014		10.249719		2.232755		10249.718750		0.000218 
1.308014		10.265409		2.237884		10265.409180		0.000218 
1.309014		10.281113		2.243021		10281.112305		0.000218 
1.310014		10.296827		2.248166		10296.827148		0.000218 
1.311015		10.312554		2.253318		10312.554688		0.000219 
1.312015		10.328294		2.258479		10328.293945		0.000219 
1.313015		10.344045		2.263647		10344.044922		0.000219 
1.314015		10.359807		2.268823		10359.806641		0.000219 
1.315015		10.375583		2.274007		10375.583008		0.000219 
1.316015		10.391369		2.279199		10391.369141		0.000219 
1.317015		10.407168		2.284399		10407.167969		0.000220 
1.318015		10.422979		2.289607		10422.979492		0.000220 
1.319015		10.438802		2.294822		10438.801758		0.000220 
1.320015		10.454637		2.300046		10454.636719		0.000220 
1.321015		10.470484		2.305278		10470.483398		0.000220 
1.322015		10.486342		2.310517		10486.342773		0.000220 
1.323015		10.502213		2.315764		10502.213867		0.000221 
1.324015		10.518097		2.321020		10518.096680		0.000221 
1.325015		10.533992		2.326283		10533.992188		0.000221 
1.326015		10.549898		2.331554		10549.898438		0.000221 
1.327015		10.565817		2.336833		10565.816406		0.000221 
1.328015		10.581748		2.342121		10581.748047		0.000221 
1.329015		10.597692		2.347416		10597.691406		0.000222 
1.330015		10.613647		2.352719		10613.646484		0.000222 
1.331015		10.629613		2.358030		10629.613281		0.000222 
1.332016		10.645592		2.363349		10645.591797		0.000222 
1.333016		10.661583		2.368676		10661.583008		0.000222 
1.334016		10.677586		2.374011		10677.585938		0.000222 
1.335016		10.693601		2.379354		10693.600586		0.000223 
1.336016		10.709628		2.384705		10709.627930		0.000223 
1.337016		10.725667		2.390064		10725.666992		0.000223 
1.338016		10.741717		2.395431		10741.717773		0.000223 
1.339016		10.757780		2.400806		10757.780273		0.000223 
1.340016		10.773855		2.406190		10773.855469		0.000223 
1.341016		10.789943		2.411581		10789.942383		0.000224 
1.342016		10.806042		2.416980		10806.041992		0.000224 
1.343016		10.822152		2.422387		10822.152344		0.000224 
1.344016		10.838275		2.427803		10838.275391		0.000224 
1.345016		10.854410		2.433226		10854.410156		0.000224 
1.346016		10.870557		2.438658		10870.556641		0.000224 
1.347016		10.886716		2.444097		10886.715820		0.000225 
1.348016		10.902887		2.449545		10902.887695		0.000225 
1.349016		10.919070		2.455001		10919.070312		0.000225 
1.350016		10.935265		2.460464		10935.264648		0.000225 
1.351016		10.951472		2.465936		10951.472656		0.000225 
1.352016		10.967690		2.471416		10967.690430		0.000225 
1.353016		10.983922		2.476905		10983.921875		0.000226 
1.354017		11.000165		2.482401		11000.165039		0.000226 
1.355017		11.016419		2.487905		11016.418945		0.000226 
1.356017		11.032686		2.493418		11032.686523		0.000226 
1.357017		11.048965		2.498939		11048.965820		0.000226 
1.358017		11.065257		2.504467		11065.256836		0.000226 
1.359017		11.081559		2.510004		11081.559570		0.000227 
1.360017		11.097875		2.515549		11097.875000		0.000227 
1.361017		11.114202		2.521103		11114.201172		0.000227 
1.362017		11.130541		2.526664		11130.541016		0.000227 
1.363017		11.146892		2.532234		11146.891602		0.000227 
1.364017		11.163255		2.537812		11163.254883		0.000227 
1.365017		11.179629		2.543397		11179.628906		0.000228 
1.366017		11.196016		2.548992		11196.016602		0.000228 
1.367017		11.212416		2.554594		11212.416016		0.000228 
1.368017		11.228827		2.560205		11228.826172		0.000228 
1.369017		11.245250		2.565823		11245.250000		0.000228 
1.370017		11.261684		2.571450		11261.684570		0.000228 
1.371017		11.278131		2.577085		11278.131836		0.000229 
1.372017		11.294590		2.582729		11294.589844		0.000229 
1.373017		11.311061		2.588381		11311.060547		0.000229 
1.374017		11.327544		2.594041		11327.543945		0.000229 
1.375018		11.344039		2.599709		11344.039062		0.000229 
1.376018		11.360546		2.605385		11360.545898		0.000229 
1.377018		11.377065		2.611070		11377.064453		0.000230 
1.378018		11.393596		2.616763		11393.595703		0.000230 
1.379018		11.410139		2.622464		11410.138672		0.000230 
1.380018		11.426694		2.628173		11426.694336		0.000230 
1.381018		11.443261		2.633891		11443.260742		0.000230 
1.382018		11.459840		2.639617		11459.839844		0.000230 
1.383018		11.476431		2.645352		11476.430664		0.000231 
1.384018		11.493034		2.651094		11493.034180		0.000231 
1.385018		11.509649		2.656845		11509.649414		0.000231 
1.386018		11.526276		2.662604		11526.275391		0.000231 
1.387018		11.542915		2.668372		11542.915039		0.000231 
1.388018		11.559566		2.674148		11559.565430		0.000231 
1.389018		11.576229		2.679932		11576.229492		0.000232 
1.390018		11.592904		2.685725		11592.904297		0.000232 
1.391018		11.609591		2.691525		11609.590820		0.000232 
1.392018		11.626290		2.697335		11626.290039		0.000232 
1.393018		11.643001		2.703152		11643.000977		0.000232 
1.394018		11.659724		2.708978		11659.724609		0.000232 
1.395018		11.676459		2.714813		11676.458984		0.000233 
1.396019		11.693206		2.720655		11693.206055		0.000233 
1.397019		11.709965		2.726506		11709.964844		0.000233 
1.398019		11.726736		2.732366		11726.736328		0.000233 
1.399019		11.743519		2.738234		11743.518555		0.000233 
1.400019		11.760314		2.744110		11760.314453		0.000233 
1.401019		11.777121		2.749995		11777.120117		0.000234 
1.402019		11.793940		2.755888		11793.939453		0.000234 
1.403019		11.810771		2.761789		11810.770508		0.000234 
1.404019		11.827614		2.767699		11827.614258		0.000234 
1.405019		11.844469		2.773617		11844.468750		0.000234 
1.406019		11.861336		2.779544		11861.335938		0.000234 
1.407019		11.878215		2.785479		11878.214844		0.000235 
1.408019		11.895106		2.791423		11895.106445		0.000235 
1.409019		11.912009		2.797375		11912.008789		0.000235 
1.410019		11.928925		2.803335		11928.924805		0.000235 
1.411019		11.945851		2.809304		11945.851562		0.000235 
1.412019		11.962790		2.815282		11962.790039		0.000235 
1.413019		11.979741		2.821268		11979.741211		0.000236 
1.414019		11.996704		2.827262		11996.704102		0.000236 
1.415019		12.013680		2.833265		12013.679688		0.000236 
1.416019		12.030666		2.839276		12030.666016		0.000236 
1.417019		12.047666		2.845296		12047.666016		0.000236 
1.418020		12.064676		2.851325		12064.676758		0.000236 
1.419020		12.081699		2.857361		12081.699219		0.000237 
1.420020		12.098735		2.863407		12098.734375		0.000237 
1.421020		12.115782		2.869461		12115.782227		0.000237 
1.422020		12.132840		2.875523		12132.839844		0.000237 
1.423020		12.149912		2.881594		12149.912109		0.000237 
